scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_chosen_strategy,initial_batch_size,model_score_batch_size,model_score,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,uncertainty_batch_size
h2_0.40_budget_200_parents_20,oracle_switching,3,3,1000,200,0.2,1,200,200,0.5491643673041661,20,2.530670613316836,0.45707252168462376,1.0152605034161006,-1.5154101099007355,3.5453272158916107,0.22190512417597266,1.0146566025747745,0.17322694099857472,0.2689854869968258,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.2742282931787202,0.5491643673041661,
h2_0.40_budget_200_parents_20,oracle_switching,3,4,1000,200,0.2,1,200,200,0.5899032059580609,20,3.5453272158916107,0.22190512417597266,0.7831209438724515,-2.762206272019159,4.334354079287555,0.03505800342013261,0.7890268633959439,0.12033355698804371,0.24116633500671014,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.39721003985054637,0.5899032059580609,
h2_0.40_budget_200_parents_20,oracle_switching,3,5,1000,200,0.2,1,200,200,0.4028611946044998,20,4.334354079287555,0.03505800342013261,0.1690569943010987,-4.165297084986456,4.507814791155883,0.025186748635314362,0.17346071186832823,0.06388367200270295,0.1487791279796511,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.3660200894506332,0.4028611946044998,
h2_0.40_budget_200_parents_20,oracle_switching,3,6,1000,200,0.2,1,200,200,0.36089685556426393,20,4.507814791155883,0.025186748635314362,0.09651353835908823,-4.411301252796795,4.601946172169275,0.014775383898528728,0.09413138101339236,0.04313763999380171,0.13555521998205222,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.1852258277137822,0.36089685556426393,
h2_0.40_budget_200_parents_20,oracle_switching,3,7,1000,200,0.2,1,200,200,0.33439784402246436,20,4.601946172169275,0.014775383898528728,0.1103214670835115,-4.491624705085764,4.716182782696861,0.007730509714917508,0.11423661052758582,0.047527412010822445,0.13548863100004382,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.15179271273263842,0.33439784402246436,
h2_0.40_budget_200_parents_20,oracle_switching,3,8,1000,200,0.2,1,200,200,0.20102929140190054,20,4.716182782696861,0.007730509714917508,4.731849791818545,0.015667009121684394,4.720943864656264,0.0059142973923645755,0.004761081959403057,,,31003,0.4,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,1,1,1000,200,0.2,1,200,200,0.568758312889005,20,-0.13314627914244165,0.9430240904123077,2.0573215499822206,2.190467829124662,1.9028695483020053,0.5241354683094959,2.036015827444447,0.28514732100302354,0.3666867049760185,32001,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.40201149435951594,0.568758312889005,
h2_0.70_budget_200_parents_20,oracle_switching,1,2,1000,200,0.2,1,200,200,0.6272432645752862,20,1.9028695483020055,0.5241354683094959,3.2931710118712916,1.390301463569286,3.311172532015356,0.4564455267730993,1.4083029837133507,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,1,3,1000,200,0.2,1,200,200,0.685652083961899,20,3.311172532015356,0.4564455267730993,4.254984456678839,0.9438119246634828,4.238935418487366,0.262269154446585,0.92776288647201,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,1,4,1000,200,0.2,1,200,200,0.5968381219818456,20,4.238935418487366,0.262269154446585,0.9169486959554973,-3.321986722531869,5.176820838211308,0.17270959291392354,0.9378854197239415,0.16507578300661407,0.2428020630031824,32001,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.44945865950251596,0.5968381219818456,
h2_0.70_budget_200_parents_20,oracle_switching,1,5,1000,200,0.2,1,200,200,0.5407410727973095,20,5.176820838211308,0.17270959291392354,0.6531694672838724,-4.5236513709274355,5.8466962960526825,0.10046499942863148,0.6698754578413748,0.3230362019967288,0.3995392950018868,32001,0.7,200,20,8,active_learning_pev,50.0,,,True,0.332525534086223,0.5407410727973095,150.0
h2_0.70_budget_200_parents_20,oracle_switching,1,6,1000,200,0.2,1,200,200,0.5134348747351578,20,5.8466962960526825,0.10046499942863148,0.33342768101688103,-5.513268615035802,6.166808594951573,0.025387542071887422,0.3201122988988905,0.1161825220042374,0.20714109498658217,32001,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.35894860995867556,0.5134348747351578,
h2_0.70_budget_200_parents_20,oracle_switching,1,7,1000,200,0.2,1,200,200,0.6310772140835423,20,6.166808594951572,0.02538754207188742,6.366641108778855,0.19983251382728273,6.354683729581338,0.013933208594383845,0.18787513462976602,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,1,8,1000,200,0.2,1,200,200,0.3602893734684414,20,6.354683729581337,0.013933208594383845,0.15148041719561728,-6.20320331238572,6.502895901692149,0.008631337511392292,0.14821217211081184,0.2682899859792087,0.3653602839913219,32001,0.7,200,20,8,active_learning_pev,50.0,,,True,0.05247942747020392,0.3602893734684414,150.0
h2_0.70_budget_200_parents_20,oracle_switching,2,1,1000,200,0.2,1,200,200,0.6058412517327518,20,-0.13314627914244165,0.9430240904123077,2.0199492651351627,2.1530955442776043,1.902751741666915,0.48541110608302623,2.035898020809357,0.2918136579974089,0.3773676700075157,32002,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.3931970128219808,0.6058412517327518,
h2_0.70_budget_200_parents_20,oracle_switching,2,2,1000,200,0.2,1,200,200,0.5433266875876185,20,1.902751741666915,0.48541110608302623,1.240667251157555,-0.6620844905093601,3.106408501950831,0.5250835944379217,1.203656760283916,0.2106893809977919,0.30024023598525673,32002,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.28665345045860197,0.5433266875876185,
h2_0.70_budget_200_parents_20,oracle_switching,2,3,1000,200,0.2,1,200,200,0.7071387025617404,20,3.106408501950831,0.5250835944379217,4.488034789291413,1.3816262873405822,4.489693682092961,0.46620965740031756,1.3832851801421295,,,32002,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,2,4,1000,200,0.2,1,200,200,0.6902112105896621,20,4.489693682092961,0.4662096574003175,1.24544777251724,-3.244245909575721,5.7442739689444435,0.13887134053561281,1.2545802868514828,0.16911293799057603,0.24565533600980416,32002,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.48758290987635333,0.6902112105896621,
h2_0.70_budget_200_parents_20,oracle_switching,2,5,1000,200,0.2,1,200,200,0.5498171620576561,20,5.7442739689444435,0.13887134053561281,6.1617943014729315,0.41752033252848797,6.17277399140794,0.08672226479109765,0.4285000224634965,,,32002,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,2,6,1000,200,0.2,1,200,200,0.4664204489497554,20,6.17277399140794,0.08672226479109765,6.480407101088273,0.3076331096803333,6.4995281681579575,0.04624544391502817,0.3267541767500175,,,32002,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,2,7,1000,200,0.2,1,200,200,0.4131647952991904,20,6.4995281681579575,0.04624544391502817,6.748641687014804,0.24911351885684674,6.737484312003007,0.06195441599240173,0.23795614384504926,,,32002,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,2,8,1000,200,0.2,1,200,200,0.378726920997997,20,6.737484312003008,0.061954415992401736,0.24966452513997392,-6.487819786863033,6.987953419806352,0.02089752384669044,0.25046910780334475,0.07329728300101124,0.1541533439885825,32002,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.2588826743468943,0.378726920997997,
h2_0.70_budget_200_parents_20,oracle_switching,3,1,1000,200,0.2,1,200,200,0.5411890292808395,20,-0.13314627914244165,0.9430240904123077,2.043563566003436,2.1767098451458775,1.8688828063942688,0.4449989788952438,2.0020290855367104,0.28701975199510343,0.3888556489837356,32003,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.4724294640793691,0.5411890292808395,
h2_0.70_budget_200_parents_20,oracle_switching,3,2,1000,200,0.2,1,200,200,0.6227290932333295,20,1.8688828063942686,0.44499897889524376,3.0906273402533992,1.2217445338591306,3.07086014841772,0.46129878257333246,1.2019773420234514,,,32003,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,3,3,1000,200,0.2,1,200,200,0.6275738353502175,20,3.07086014841772,0.4612987825733325,1.3907668777268596,-1.6800932706908605,4.433013128596624,0.3648038924325001,1.3621529801789038,0.18376540899043903,0.2602874299918767,32003,0.7,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.25536415798800177,0.6275738353502175,
h2_0.70_budget_200_parents_20,oracle_switching,3,4,1000,200,0.2,1,200,200,0.6472847306770003,20,4.433013128596624,0.36480389243250005,5.514071608694392,1.0810584800977683,5.568356763323403,0.24216936648619175,1.1353436347267793,,,32003,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,3,5,1000,200,0.2,1,200,200,0.6566339063657404,20,5.568356763323403,0.24216936648619175,0.5924684353410725,-4.9758883279823305,6.183193808716487,0.046075507551131004,0.6148370453930836,0.2867084559984505,0.4271823190210853,32003,0.7,200,20,8,active_learning_pev,50.0,,,True,0.4002608660579133,0.6566339063657404,150.0
h2_0.70_budget_200_parents_20,oracle_switching,3,6,1000,200,0.2,1,200,200,0.6265867207703076,20,6.183193808716487,0.046075507551131004,0.21938876512302907,-5.9638050435934575,6.397532401082217,0.017738242964744733,0.21433859236573038,0.3216075329983141,0.4056470560026355,32003,0.7,200,20,8,active_learning_pev,50.0,,,True,0.24263001574390464,0.6265867207703076,150.0
h2_0.70_budget_200_parents_20,oracle_switching,3,7,1000,200,0.2,1,200,200,0.4364194649003749,20,6.397532401082217,0.017738242964744733,6.573479442723446,0.17594704164122899,6.582010597867211,0.0057771500028913295,0.184478196784994,,,32003,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,oracle_switching,3,8,1000,200,0.2,1,200,200,0.30271936173122016,20,6.582010597867211,0.005777150002891329,0.05311730811202492,-6.528893289755186,6.634333827687782,0.0014100544418105105,0.052323229820570916,0.23820088902721182,0.3297460809990298,32003,0.7,200,20,8,active_learning_pev,50.0,,,True,0.03186163119139574,0.30271936173122016,150.0
