strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,initial_model_accuracy,final_model_accuracy
diversity_sampling,3,2,1000,200,0.2,1,200,200,0.5618309120699461,20,1.0804053287202136,0.7559406973823045,2.437910362599451,1.3575050338792374,2.465892085132044,0.5456011257052631,1.3854867564118303,0.7203755610025837,0.08514557400121703,400,1003,1004,,,,
diversity_sampling,3,3,1000,200,0.2,1,200,200,0.629765050838185,20,2.465892085132044,0.5456011257052631,3.4913091926993576,1.0254171075673137,3.5082265189919815,0.25415906019825013,1.0423344338599376,0.5760207640014414,0.05992108999998891,600,1003,1005,,,,
diversity_sampling,3,4,1000,200,0.2,1,200,200,0.24676799659727774,20,3.5082265189919815,0.25415906019825013,3.6805749029015327,0.1723483839095512,3.6808301999213633,0.19942006998584258,0.17260368092938183,0.4596713280006952,0.057280528999399394,800,1003,1006,,,,
diversity_sampling,3,5,1000,200,0.2,1,200,200,0.5050563743169156,20,3.6808301999213633,0.19942006998584258,4.055477909562979,0.3746477096416161,4.066203756400436,0.09777336092252818,0.385373556479073,0.2836613099971146,0.0753530399997544,1000,1003,1007,,,,
fixed_sampling,3,1,1000,200,0.2,1,200,200,0.49200799228158476,20,-0.13314627914244168,0.9430240904123077,0.7269391040217988,0.8600853831642405,0.7237831472323171,0.9205312661775857,0.8569294263747588,0.00019041300038225017,0.12841897299949778,200,1003,1003,,,,
fixed_sampling,3,2,1000,200,0.2,1,200,200,0.7058473929695552,20,0.7237831472323171,0.9205312661775857,1.8775153241052385,1.1537321768729214,1.860977150639298,0.5303486988783447,1.137194003406981,0.00015071300003910437,0.08940671300297254,400,1003,1004,,,,
fixed_sampling,3,3,1000,200,0.2,1,200,200,0.5051897237832916,20,1.860977150639298,0.5303486988783447,2.7155158923470797,0.8545387417077817,2.6819915530006533,0.3372102555658563,0.8210144023613553,0.00014876500063110143,0.055370551999658346,600,1003,1005,,,,
fixed_sampling,3,4,1000,200,0.2,1,200,200,0.3334126896358544,20,2.6819915530006533,0.3372102555658563,3.1971656418875467,0.5151740888868934,3.1767180699784334,0.1746627922050382,0.49472651697778014,0.00015774300118209794,0.05455457800053409,800,1003,1006,,,,
fixed_sampling,3,5,1000,200,0.2,1,200,200,0.4970582302174687,20,3.1767180699784334,0.1746627922050382,3.52530518037015,0.3485871103917164,3.546594288322779,0.09633389091446333,0.36987621834434536,0.00015316399731091224,0.05405125199831673,1000,1003,1007,,,,
random_sampling,3,1,1000,200,0.2,1,200,200,0.45640388642153423,20,-0.13314627914244168,0.9430240904123077,0.9885152848140532,1.1216615639564949,0.9821673878449596,0.7694368632250707,1.1153136669874013,0.00017953199858311564,0.1804913919986575,200,1003,1003,,,,
random_sampling,3,2,1000,200,0.2,1,200,200,0.4337961876074807,20,0.9821673878449596,0.7694368632250707,1.896798547682921,0.9146311598379614,1.928855589826023,0.5556094898054582,0.9466882019810633,0.00015682099910918623,0.08762422400104697,400,1003,1004,,,,
random_sampling,3,3,1000,200,0.2,1,200,200,0.581058199632077,20,1.928855589826023,0.5556094898054582,2.9849446865065423,1.0560890966805194,2.9916681709741253,0.31694841692095643,1.0628125811481024,0.00019144399993820116,0.0534202489980089,600,1003,1005,,,,
random_sampling,3,4,1000,200,0.2,1,200,200,0.5391304089146877,20,2.9916681709741253,0.31694841692095643,3.375553955972724,0.3838857849985988,3.333817418540772,0.27659334005059855,0.3421492475666468,0.00015140100003918633,0.053762652998557314,800,1003,1006,,,,
random_sampling,3,5,1000,200,0.2,1,200,200,0.693787008868792,20,3.333817418540772,0.27659334005059855,4.1506901751320155,0.8168727565912435,4.130915779367842,0.1526811545212023,0.7970983608270701,0.00016668399985064752,0.054207673001656076,1000,1003,1007,,,,
